Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective July 1, 2023 through September 30, 2023",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 1Q23 ASP data.,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
J9360,Vinblastine sulfate inj,1 MG,3.952,20.000,,,,,,AMP-based payment limit,
J9370,Vincristine sulfate 1 mg inj,1 MG,7.486,20.000,,,,,,,
J9380,Inj teclistamab cqyv 0.5 mg,0.5 MG,30.935,20.000,,,,,,Added July 2023,
J9381,Inj teplizumab mzwv 5 mcg,5 MCG,36.273,20.000,,,,,,Added July 2023,
J9390,Vinorelbine tartrate inj,10 MG,8.268,20.000,,,,,,,
J9393,"Inj, fulvestrant (teva)",25 MG,21.200,20.000,,,,,,,
J9394,"Inj, fulvestrant (fresenius)",25 MG,1.653,20.000,,,,,,,
J9395,"Injection, fulvestrant",25 MG,9.470,20.000,,,,,,,
J9400,"Inj, ziv-aflibercept, 1mg",1 MG,6.812,20.000,,,,,,,
P9041,"Albumin (human),5%, 50ml",50 ML,10.615,20.000,,,95,10.615,,,
P9045,"Albumin (human), 5%, 250 ml",250 ML,53.077,20.000,,,95,53.077,,,
P9046,"Albumin (human), 25%, 20 ml",20 ML,21.231,20.000,,,95,21.231,,,
P9047,"Albumin (human), 25%, 50ml",50 ML,53.077,20.000,,,95,53.077,,,
Q0138,"Ferumoxytol, non-esrd",1 MG,0.503,20.000,,,,,,,
Q0139,"Ferumoxytol, esrd use",1 MG,0.503,20.000,,,,,,,
Q0162,Ondansetron oral,1 MG,0.014,20.000,,,,,,,
Q0167,Dronabinol 2.5mg oral,2.5 MG,0.733,20.000,,,,,,,
Q2041,Axicabtagene ciloleucel car+,UP TO 200 MILLION CAR T CELLS,449440.000,20.000,,,,,,,
Q2043,Sipuleucel-t auto cd54+,Per infusion (minimum 50 million cells),53062.441,20.000,,,,,,,
Q2050,Doxorubicin inj 10mg,10 MG,87.978,20.000,,,,,,,
Q2053,Brexucabtagene car pos t,UP TO 200 MILLION AUTOLOGOUS ANTI-CD19 CAR POSITIVE VIABLE T CELLS,449440.000,20.000,,,,,,,
Q2054,Lisocabtagene mara car pos t,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",454489.310,20.000,,,,,,Added July 2023,
Q2056,Ciltacabtagene car-pos t,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,492900.000,20.000,,,,,,Added July 2023,
Q3027,Inj beta interferon im 1 mcg,1 MCG,53.147,20.000,,,,,,,
Q4074,Iloprost non-comp unit dose,UP TO 20 MCG,144.425,20.000,,,,,,,
Q4081,"Epoetin alfa, 100 units esrd",100 UNITS,0.688,20.000,,,,,,,
Q4101,Apligraf,1 SQ CM,30.420,20.000,,,,,,,
Q4102,Oasis wound matrix,1 SQ CM,12.826,20.000,,,,,,,
Q4103,Oasis burn matrix,1 SQ CM,12.938,20.000,,,,,,,
Q4104,Integra bmwd,1 SQ CM,48.961,20.000,,,,,,,
Q4105,Integra drt or omnigraft,1 SQ CM,26.023,20.000,,,,,,,
Q4106,Dermagraft,1 SQ CM,34.478,20.000,,,,,,Added July 2023,
Q4108,Integra matrix,1 SQ CM,47.499,20.000,,,,,,,
Q4110,Primatrix,1 SQ CM,42.867,20.000,,,,,,,
Q4111,Gammagraft,1 SQ CM,7.524,20.000,,,,,,,
Q4114,Integra flowable wound matri,1 CC,1530.311,20.000,,,,,,,
Q4115,Alloskin,1 SQ CM,15.323,20.000,,,,,,,
Q4117,Hyalomatrix,1 SQ CM,22.701,20.000,,,,,,,
Q4118,Matristem micromatrix,1 MG,2.499,20.000,,,,,,,
Q4121,Theraskin,1 SQ CM,46.984,20.000,,,,,,,
Q4123,Alloskin,1 SQ CM,23.844,20.000,,,,,,,
Q4124,Oasis tri-layer wound matrix,1 SQ CM,10.037,20.000,,,,,,,
Q4126,Memoderm/derma/tranz/integup,1 SQ CM,93.598,20.000,,,,,,,
Q4127,Talymed,1 SQ CM,86.750,20.000,,,,,,,
Q4128,Flexhd/allopatchhd/sq cm,1 SQ CM,31.213,20.000,,,,,,,
Q4132,"Grafix core, grafixpl core",1 SQ CM,285.745,20.000,,,,,,,
Q4133,Grafix stravix prime pl sqcm,1 SQ CM,139.381,20.000,,,,,,Updated January 2024,
Q4134,Hmatrix,1 SQ CM,162.078,20.000,,,,,,Added July 2023,
Q4137,Amnioexcel biodexcel 1sq cm,1 SQ CM,104.346,20.000,,,,,,,
Q4143,"Repriza, 1cm",1 SQ CM,27.823,20.000,,,,,,Added July 2023,
Q4150,Allowrap ds or dry 1 sq cm,1 SQ CM,77.145,20.000,,,,,,,
Q4151,"Amnioband, guardian 1 sq cm",1 SQ CM,136.184,20.000,,,,,,,
Q4152,Dermapure 1 square cm,1 SQ CM,50.179,20.000,,,,,,,
Q4153,"Dermavest, plurivest sq cm",1 SQ CM,133.825,20.000,,,,,,,
Q4154,Biovance 1 square cm,1 SQ CM,130.411,20.000,,,,,,,
Q4159,Affinity1 square cm,1 SQ CM,420.539,20.000,,,,,,,
Q4160,Nushield 1 square cm,1 SQ CM,92.907,20.000,,,,,,,
Q4161,Bio-connekt per square cm,1 SQ CM,134.825,20.000,,,,,,,
Q4163,"Woundex, bioskin, per sq cm",1 SQ CM,165.168,20.000,,,,,,,
Q4166,"Cytal, per square centimeter",1 SQ CM,18.900,20.000,,,,,,Added July 2023,
Q4168,"Amnioband, 1 mg",1 MG,17.486,20.000,,,,,,Added July 2023,
Q4169,"Artacent wound, per sq cm",1 SQ CM,264.413,20.000,,,,,,,
Q4170,"Cygnus, per sq cm",1 SQ CM,42.753,20.000,,,,,,,
Q4171,"Interfyl, 1 mg",1 MG,12.991,20.000,,,,,,Added July 2023,
Q4173,Palingen or palingen xplus,1 SQ CM,367.452,20.000,,,,,,Added July 2023,
Q4175,Miroderm,1 SQ CM,63.480,20.000,,,,,,,
Q4176,"Neopatch or therion, 1 sq cm",1 SQ CM,65.919,20.000,,,,,,,
Q4178,"Floweramniopatch, per sq cm",1 SQ CM,89.468,20.000,,,,,,,
Q4180,"Revita, per sq cm",1 SQ CM,103.693,20.000,,,,,,,
Q4186,Epifix 1 sq cm,1 SQ CM,148.822,20.000,,,,,,,
Q4187,Epicord 1 sq cm,1 SQ CM,242.712,20.000,,,,,,,
Q4190,Artacent ac 1 sq cm,1 SQ CM,584.125,20.000,,,,,,,
Q4196,Puraply am 1 sq cm,1 SQ CM,102.279,20.000,,,,,,,
Q4197,Puraply xt 1 sq cm,1 SQ CM,147.163,20.000,,,,,,,
Q4199,"Cygnus matrix, per sq cm",1 SQ CM,284.653,20.000,,,,,,,
Q4201,Matrion 1 sq cm,1 SQ CM,131.424,20.000,,,,,,,
Q4203,"Derma-gide, 1 sq cm",1 SQ CM,229.804,20.000,,,,,,,
Q4210,Axolotl graf dualgraf sq cm,1 SQ CM,826.800,20.000,,,,,,,
Q4222,"Progenamatrix, per sq cm",1 SQ CM,115.690,20.000,,,,,,,
Q4227,Amniocore per sq cm,1 SQ CM,148.902,20.000,,,,,,,
Q4229,Cogenex amnio memb per sq cm,1 SQ CM,170.015,20.000,,,,,,,
Q4232,"Corplex, per sq cm",1 SQ CM,204.833,20.000,,,,,,,
Q4234,"Xcellerate, per sq cm",1 SQ CM,856.664,20.000,,,,,,,
Q4235,Amniorepair or altiply sq cm,1 SQ CM,165.147,20.000,,,,,,,
Q4246,"Coretext or protext, per cc",1 CC,2968.000,20.000,,,,,,,
Q4247,"Amniotext patch, per sq cm",1 SQ CM,530.000,20.000,,,,,,,
Q4248,Dermacyte amn mem allo sq cm,1 SQ CM,1107.700,20.000,,,,,,,
Q4252,"Vendaje, per square centimet",1 SQ CM,175.091,20.000,,,,,,,
Q4253,Zenith amniotic membrane psc,1 SQ CM,614.545,20.000,,,,,,Updated January 2024,
Q4258,"Enverse, per sq cm",1 SQ CM,73.787,20.000,,,,,,,
Q4259,Celera per sq cm,1 SQ CM,995.341,20.000,,,,,,,
Q5101,"Injection, zarxio",1 MCG,0.181,20.000,,,,,,8% of reference add-on applied,
Q5103,"Injection, inflectra",10 MG,17.581,20.000,,,,,,Updated January 2024 - 8% of reference add-on applied,
Q5104,"Injection, renflexis",10 MG,35.547,20.000,,,,,,,
Q5105,Inj retacrit esrd on dialysi,100 UNITS,0.750,20.000,,,,,,,
Q5106,Inj retacrit non-esrd use,1000 UNITS,7.223,20.000,,,,,,Updated January 2024,
Q5107,Inj mvasi 10 mg,10 MG,28.398,20.000,,,,,,8% of reference add-on applied,
Q5108,"Injection, fulphila",0.5 MG,111.145,20.000,,,,,,,
Q5110,Nivestym,1 MCG,0.326,20.000,,,,,,8% of reference add-on applied,
Q5111,"Injection, udenyca 0.5 mg",0.5 MG,124.782,20.000,,,,,,,
Q5112,Inj ontruzant 10 mg,10 MG,46.927,20.000,,,,,,8% of reference add-on applied,
Q5113,Inj herzuma 10 mg,10 MG,29.870,20.000,,,,,,8% of reference add-on applied,
Q5114,Inj ogivri 10 mg,10 MG,40.405,20.000,,,,,,8% of reference add-on applied,
Q5115,Inj truxima 10 mg,10 MG,39.791,20.000,,,,,,8% of reference add-on applied,
Q5116,"Inj., trazimera, 10 mg",10 MG,21.928,20.000,,,,,,Updated January 2024 - 8% of reference add-on applied,
Q5117,"Inj., kanjinti, 10 mg",10 MG,23.960,20.000,,,,,,8% of reference add-on applied,
Q5118,"Inj., zirabev, 10 mg",10 MG,26.168,20.000,,,,,,Updated January 2024 - 8% of reference add-on applied,
Q5119,"Inj ruxience, 10 mg",10 MG,24.718,20.000,,,,,,Updated January 2024 - 8% of reference add-on applied,
Q5120,Inj pegfilgrastim-bmez 0.5mg,0.5 MG,30.049,20.000,,,,,,8% of reference add-on applied,
Q5121,"Inj. avsola, 10 mg",10 MG,28.334,20.000,,,,,,8% of reference add-on applied,
Q5122,"Inj, nyvepria",0.5 MG,100.475,20.000,,,,,,Updated January 2024,
Q5123,"Inj. riabni, 10 mg",10 MG,44.579,20.000,,,,,,8% of reference add-on applied,
Q5124,"Inj. byooviz, 0.1 mg",0.1 MG,220.828,20.000,,,,,,8% of reference add-on applied,
Q5125,"Inj, releuko 1 mcg",1 MCG,0.586,20.000,,,,,,8% of reference add-on applied,
Q5126,Inj alymsys 10 mg,10 MG,72.518,20.000,,,,,,8% of reference add-on applied,
Q5128,"Inj, cimerli, 0.1 mg",0.1 MG,279.498,20.000,,,,,,Added July 2023,
Q9950,Inj sulf hexa lipid microsph,1 ML,18.997,20.000,,,,,,,
Q9956,"Inj octafluoropropane mic,ml",1 ML,42.720,20.000,,,,,,,
Q9957,"Inj perflutren lip micros,ml",1 ML,42.720,20.000,,,,,,,
Q9958,"Hocm <=149 mg/ml iodine, 1ml",1 ML,0.077,20.000,,,,,,,
Q9961,"Hocm 250-299mg/ml iodine,1ml",1 ML,0.110,20.000,,,,,,,
Q9963,"Hocm 350-399mg/ml iodine,1ml",1 ML,0.212,20.000,,,,,,,
Q9965,"Locm 100-199mg/ml iodine,1ml",1 ML,1.308,20.000,,,,,,,
Q9966,"Locm 200-299mg/ml iodine,1ml",1 ML,0.369,20.000,,,,,,,
Q9967,"Locm 300-399mg/ml iodine,1ml",1 ML,0.126,20.000,,,,,,,
Q9991,Buprenorph xr 100 mg or less,Less than or equal to 100 MG,1886.367,20.000,,,,,,,
Q9992,Buprenorphine xr over 100 mg,Greater than 100 MG,1886.367,20.000,,,,,,,
